,session,code,group,id_in_group,round,arrival,choice,certainty,bonus,strategy,simple,cutoff,fault,payoff,exp
3476,tnn4atf7,0h5y3ynv,9,1,1,9.0,1,0.99,-9.21,,,,,0.0,AMT
3477,tnn4atf7,3j0xmusa,9,2,1,9.1,1,0.75,-2.77,,,,,0.0,AMT
3478,tnn4atf7,0h5y3ynv,9,1,2,8.4,1,0.75,-2.77,"i tried to choose the option with the least penalty, but that didn't work out very well.",1.0,8.5,3.0,0.0,AMT
3479,tnn4atf7,3j0xmusa,9,2,2,8.5,0,0.99,-9.21,"I went with my instinct of what I would do in real life. I assumed my partner would do the same as well. On Monday I would go to the canteen first, but would go to work Tuesday to focus on work.",1.0,8.0,1.0,0.0,AMT
3480,tnn4atf7,rhte04g2,11,1,1,8.3,1,0.75,-0.29,,,,,2.859999999999999,AMT
3481,tnn4atf7,8s4vhpit,11,2,1,8.2,1,0.99,-0.01,,,,,0.6600000000000019,AMT
3482,tnn4atf7,rhte04g2,11,1,2,8.2,1,0.875,-0.13,,,,,2.859999999999999,AMT
3483,tnn4atf7,8s4vhpit,11,2,2,8.1,1,0.99,-0.01,,,,,0.6600000000000019,AMT
3484,tnn4atf7,rhte04g2,11,1,3,8.0,1,0.75,-0.29,,,,,2.859999999999999,AMT
3485,tnn4atf7,8s4vhpit,11,2,3,8.1,1,0.99,-0.01,,,,,0.6600000000000019,AMT
3486,tnn4atf7,rhte04g2,11,1,4,8.2,1,0.875,-0.13,,,,,2.859999999999999,AMT
3487,tnn4atf7,8s4vhpit,11,2,4,8.1,1,0.99,-0.01,,,,,0.6600000000000019,AMT
3488,tnn4atf7,rhte04g2,11,1,5,8.1,1,0.875,-0.13,,,,,2.859999999999999,AMT
3489,tnn4atf7,8s4vhpit,11,2,5,8.0,1,0.99,-0.01,,,,,0.6600000000000019,AMT
3490,tnn4atf7,rhte04g2,11,1,6,8.3,0,0.75,-0.58,,,,,2.859999999999999,AMT
3491,tnn4atf7,8s4vhpit,11,2,6,8.4,0,0.99,-0.02,,,,,0.6600000000000019,AMT
