,session,code,group,id_in_group,round,arrival,choice,certainty,bonus,strategy,simple,cutoff,fault,payoff,exp
0,0c0pdasz,zh74wr23,2,1,1,8.2,1,0.875,-0.13,,,,,7.890000000000001,AMT
1,0c0pdasz,w73mxa5y,2,2,1,8.3,1,0.875,-0.13,,,,,4.66,AMT
2,0c0pdasz,zh74wr23,2,1,2,8.2,0,0.5,-1.39,,,,,7.890000000000001,AMT
3,0c0pdasz,w73mxa5y,2,2,2,8.1,1,0.875,-4.16,,,,,4.66,AMT
4,0c0pdasz,zh74wr23,2,1,3,8.2,1,0.99,-0.01,,,,,7.890000000000001,AMT
5,0c0pdasz,w73mxa5y,2,2,3,8.3,1,0.625,-0.47,,,,,4.66,AMT
6,0c0pdasz,zh74wr23,2,1,4,8.4,1,0.625,-0.47,,,,,7.890000000000001,AMT
7,0c0pdasz,w73mxa5y,2,2,4,8.5,1,0.625,-0.47,,,,,4.66,AMT
8,0c0pdasz,zh74wr23,2,1,5,9.1,0,0.99,-0.02,,,,,7.890000000000001,AMT
9,0c0pdasz,w73mxa5y,2,2,5,9.0,0,0.99,-0.02,,,,,4.66,AMT
10,0c0pdasz,zh74wr23,2,1,6,8.1,1,0.99,-0.01,,,,,7.890000000000001,AMT
11,0c0pdasz,w73mxa5y,2,2,6,8.2,1,0.99,-0.01,,,,,4.66,AMT
12,0c0pdasz,zh74wr23,2,1,7,9.1,0,0.99,-0.02,,,,,7.890000000000001,AMT
13,0c0pdasz,w73mxa5y,2,2,7,9.0,0,0.99,-0.02,,,,,4.66,AMT
14,0c0pdasz,zh74wr23,2,1,8,9.1,0,0.99,-0.02,,,,,7.890000000000001,AMT
15,0c0pdasz,w73mxa5y,2,2,8,9.0,0,0.99,-0.02,,,,,4.66,AMT
16,0c0pdasz,zh74wr23,2,1,9,9.0,0,0.99,-0.02,,,,,7.890000000000001,AMT
17,0c0pdasz,w73mxa5y,2,2,9,9.1,0,0.99,-0.02,,,,,4.66,AMT
18,0c0pdasz,zh74wr23,2,1,10,8.5,0,0.99,-0.02,I based it off the must be in office at 9 am and if there was not enough time I went straight to the office.,1.0,8.4,,7.890000000000001,AMT
19,0c0pdasz,w73mxa5y,2,2,10,9.0,0,0.99,-0.02,trying to look at the times and figure out what the other player would pick,1.0,8.3,,4.66,AMT
20,0c0pdasz,3ukm8x0z,3,1,1,9.1,0,0.75,-0.58,,,,,7.38,AMT
21,0c0pdasz,34lhog0q,3,2,1,9.0,0,0.99,-0.02,,,,,4.77,AMT
22,0c0pdasz,3ukm8x0z,3,1,2,8.3,1,0.99,-0.01,,,,,7.38,AMT
23,0c0pdasz,34lhog0q,3,2,2,8.2,1,0.75,-0.29,,,,,4.77,AMT
24,0c0pdasz,3ukm8x0z,3,1,3,8.0,1,0.99,-0.01,,,,,7.38,AMT
25,0c0pdasz,34lhog0q,3,2,3,8.1,1,0.875,-0.13,,,,,4.77,AMT
26,0c0pdasz,3ukm8x0z,3,1,4,9.1,0,0.75,-0.58,,,,,7.38,AMT
27,0c0pdasz,34lhog0q,3,2,4,9.0,0,0.75,-0.58,,,,,4.77,AMT
28,0c0pdasz,3ukm8x0z,3,1,5,8.1,1,0.99,-0.01,,,,,7.38,AMT
29,0c0pdasz,34lhog0q,3,2,5,8.0,1,0.99,-0.01,,,,,4.77,AMT
30,0c0pdasz,3ukm8x0z,3,1,6,8.3,1,0.99,-0.01,,,,,7.38,AMT
