,session,code,group,id_in_group,round,arrival,choice,certainty,bonus,strategy,simple,cutoff,fault,payoff
0,px95dqer,awyxy9kj,2,1,1,8.1,1.0,0.875,-0.13,,,,,0.0
1,px95dqer,r6ol7nz6,2,2,1,8.0,1.0,0.99,-0.01,,,,,0.0
2,px95dqer,awyxy9kj,2,1,2,8.1,0.0,0.99,-9.21,,,,,0.0
3,px95dqer,r6ol7nz6,2,2,2,8.0,1.0,0.99,-9.21,,,,,0.0
4,px95dqer,awyxy9kj,2,1,3,8.2,1.0,0.5,-0.69,,,,,0.0
5,px95dqer,r6ol7nz6,2,2,3,8.3,1.0,0.5,-0.69,,,,,0.0
6,px95dqer,awyxy9kj,2,1,4,8.1,1.0,0.99,-0.01,,,,,0.0
7,px95dqer,r6ol7nz6,2,2,4,8.0,1.0,0.99,-0.01,,,,,0.0
8,px95dqer,awyxy9kj,2,1,5,8.2,1.0,0.99,-0.01,,,,,0.0
9,px95dqer,r6ol7nz6,2,2,5,8.3,1.0,0.5,-0.69,,,,,0.0
10,px95dqer,awyxy9kj,2,1,6,8.5,1.0,0.99,-9.21,,,,,0.0
11,px95dqer,r6ol7nz6,2,2,6,9.0,0.0,0.99,-9.21,,,,,0.0
12,px95dqer,awyxy9kj,2,1,7,8.5,1.0,0.99,-9.21,,,,,0.0
13,px95dqer,r6ol7nz6,2,2,7,9.0,0.0,0.875,-4.16,,,,,0.0
14,px95dqer,awyxy9kj,2,1,8,9.0,0.0,0.99,-0.02,,,,,0.0
15,px95dqer,r6ol7nz6,2,2,8,8.5,0.0,0.75,-0.58,,,,,0.0
16,px95dqer,awyxy9kj,2,1,9,8.3,1.0,0.99,-0.01,,,,,0.0
17,px95dqer,r6ol7nz6,2,2,9,8.2,1.0,0.625,-0.47,,,,,0.0
18,px95dqer,awyxy9kj,2,1,10,9.0,0.0,0.99,-0.02,,,,,0.0
19,px95dqer,r6ol7nz6,2,2,10,8.5,0.0,0.875,-0.27,,,,,0.0
20,px95dqer,awyxy9kj,2,1,11,8.3,1.0,0.99,-0.01,,,,,0.0
21,px95dqer,r6ol7nz6,2,2,11,8.2,1.0,0.625,-0.47,,,,,0.0
22,px95dqer,awyxy9kj,2,1,12,8.1,1.0,0.99,-0.01,,,,,0.0
23,px95dqer,r6ol7nz6,2,2,12,8.0,1.0,0.99,-0.01,,,,,0.0
24,px95dqer,awyxy9kj,2,1,13,8.4,1.0,0.99,-0.01,,,,,0.0
25,px95dqer,r6ol7nz6,2,2,13,8.3,1.0,0.5,-0.69,,,,,0.0
26,px95dqer,awyxy9kj,2,1,14,8.1,1.0,0.99,-0.01,,,,,0.0
27,px95dqer,r6ol7nz6,2,2,14,8.0,1.0,0.875,-0.13,,,,,0.0
28,px95dqer,awyxy9kj,2,1,15,8.4,1.0,0.99,-9.21,Go big problem go home,1.0,8.5,1.0,0.0
29,px95dqer,r6ol7nz6,2,2,15,8.5,0.0,0.875,-4.16,"Tried to do what would be the optimal statistical given my information, and what mean time the other player has i.e. 8.30 and the assumption that he had the same strategy. This did not work out",2.0,7.0,2.0,0.0
30,px95dqer,b6erzgw2,3,1,1,8.1,1.0,0.99,-0.01,,,,,0.0
31,px95dqer,3bvejf44,3,2,1,8.0,1.0,0.99,-0.01,,,,,1.639999999999997
32,px95dqer,b6erzgw2,3,1,2,8.2,1.0,0.99,-0.01,,,,,0.0
33,px95dqer,3bvejf44,3,2,2,8.1,1.0,0.99,-0.01,,,,,1.639999999999997
34,px95dqer,b6erzgw2,3,1,3,8.3,1.0,0.99,-9.21,,,,,0.0
35,px95dqer,3bvejf44,3,2,3,8.4,0.0,0.875,-4.16,,,,,1.639999999999997
36,px95dqer,b6erzgw2,3,1,4,8.2,1.0,0.99,-0.01,,,,,0.0
37,px95dqer,3bvejf44,3,2,4,8.3,1.0,0.99,-0.01,,,,,1.639999999999997
38,px95dqer,b6erzgw2,3,1,5,8.2,1.0,0.99,-0.01,,,,,0.0
39,px95dqer,3bvejf44,3,2,5,8.3,1.0,0.99,-0.01,,,,,1.639999999999997
40,px95dqer,b6erzgw2,3,1,6,9.0,0.0,0.99,-0.02,,,,,0.0
41,px95dqer,3bvejf44,3,2,6,9.1,0.0,0.99,-0.02,,,,,1.639999999999997
42,px95dqer,b6erzgw2,3,1,7,8.4,1.0,0.99,-0.01,,,,,0.0
43,px95dqer,3bvejf44,3,2,7,8.3,1.0,0.99,-0.01,,,,,1.639999999999997
44,px95dqer,b6erzgw2,3,1,8,8.5,0.0,0.75,-2.77,,,,,0.0
45,px95dqer,3bvejf44,3,2,8,8.4,1.0,0.75,-2.77,,,,,1.639999999999997
46,px95dqer,b6erzgw2,3,1,9,8.2,1.0,0.99,-0.01,,,,,0.0
47,px95dqer,3bvejf44,3,2,9,8.1,1.0,0.99,-0.01,,,,,1.639999999999997
48,px95dqer,b6erzgw2,3,1,10,8.2,1.0,0.99,-0.01,,,,,0.0
