,session,code,group,id_in_group,round,arrival,choice,certainty,bonus,strategy,simple,cutoff,fault,payoff
120,skcucks5,luykbvrv,2,1,1,8.1,1.0,0.99,-0.01,,,,,0.3500000000000014
121,skcucks5,4vnbdkgv,2,2,1,8.2,1.0,0.99,-0.01,,,,,7.32
122,skcucks5,luykbvrv,2,1,2,8.2,1.0,0.99,-0.01,,,,,0.3500000000000014
123,skcucks5,4vnbdkgv,2,2,2,8.3,1.0,0.99,-0.01,,,,,7.32
124,skcucks5,luykbvrv,2,1,3,8.3,1.0,0.99,-0.01,,,,,0.3500000000000014
125,skcucks5,4vnbdkgv,2,2,3,8.4,1.0,0.875,-0.13,,,,,7.32
126,skcucks5,luykbvrv,2,1,4,8.3,1.0,0.99,-0.01,,,,,0.3500000000000014
127,skcucks5,4vnbdkgv,2,2,4,8.4,1.0,0.99,-0.01,,,,,7.32
128,skcucks5,luykbvrv,2,1,5,8.1,1.0,0.99,-0.01,,,,,0.3500000000000014
129,skcucks5,4vnbdkgv,2,2,5,8.0,1.0,0.99,-0.01,,,,,7.32
130,skcucks5,luykbvrv,2,1,6,8.1,1.0,0.99,-0.01,,,,,0.3500000000000014
131,skcucks5,4vnbdkgv,2,2,6,8.2,1.0,0.99,-0.01,,,,,7.32
132,skcucks5,luykbvrv,2,1,7,8.5,1.0,0.5,-0.69,,,,,0.3500000000000014
133,skcucks5,4vnbdkgv,2,2,7,8.4,1.0,0.99,-0.01,,,,,7.32
134,skcucks5,luykbvrv,2,1,8,8.4,1.0,0.99,-0.01,,,,,0.3500000000000014
135,skcucks5,4vnbdkgv,2,2,8,8.3,1.0,0.99,-0.01,,,,,7.32
136,skcucks5,luykbvrv,2,1,9,9.0,0.0,0.5,-1.39,,,,,0.3500000000000014
137,skcucks5,4vnbdkgv,2,2,9,9.1,0.0,0.99,-0.02,,,,,7.32
138,skcucks5,luykbvrv,2,1,10,9.0,0.0,0.75,-0.58,,,,,0.3500000000000014
139,skcucks5,4vnbdkgv,2,2,10,9.1,0.0,0.99,-0.02,,,,,7.32
140,skcucks5,luykbvrv,2,1,11,8.3,1.0,0.99,-0.01,,,,,0.3500000000000014
141,skcucks5,4vnbdkgv,2,2,11,8.2,1.0,0.99,-0.01,,,,,7.32
